name,baseline_wer,baseline_cer,baseline_pmr,baseline_bleu,baseline_cosine,baseline_indobert,baseline_jw,yolo_wer,yolo_cer,yolo_pmr,yolo_bleu,yolo_cosine,yolo_indobert,yolo_jw,baseline_indobert_P,baseline_indobert_R,baseline_indobert_F1,yolo_indobert_P,yolo_indobert_R,yolo_indobert_F1
391,1.036281179138322,0.5161669606114051,0.0,0.0,0.0,"(0.9160184860229492, 0.9346718192100525, 0.9252511262893677)",0.6635059145602284,1.0,0.5017636684303352,0.0,0.0,0.0,"(0.9857484102249146, 0.9871724843978882, 0.9864599108695984)",0.7684126984126984,0.9160184860229492,0.9346718192100525,0.9252511262893677,0.9857484102249146,0.9871724843978882,0.9864599108695984
415,0.027777777777777776,0.02,0.021604938271604937,0.9728503656004787,0.9976357019421583,"(0.9652235507965088, 0.9709638357162476, 0.9680851697921753)",0.837997385620915,0.0,0.0,1.0,1.0,1.0000000000000004,"(1.0, 1.0, 1.0)",1.0,0.9652235507965088,0.9709638357162476,0.9680851697921753,1.0,1.0,1.0
425,1.0604651162790697,0.5533582089552239,0.0,0.0,0.0,"(0.90191650390625, 0.9188302755355835, 0.9102948307991028)",0.6529771056609341,1.0,0.5220149253731343,0.0,0.0,0.0,"(0.9230403900146484, 0.9350988268852234, 0.9290304183959961)",0.6712367309953741,0.90191650390625,0.9188302755355835,0.9102948307991028,0.9230403900146484,0.9350988268852234,0.9290304183959961
55,0.06542056074766354,0.046067415730337076,0.8271028037383178,0.9117373195636929,0.9868755016163335,"(0.9626075625419617, 0.9812484979629517, 0.9718387126922607)",0.9768973341906021,0.037383177570093455,0.02359550561797753,0.8271028037383178,0.9425818740321771,0.9917380735690537,"(0.9890078902244568, 0.9960335493087769, 0.9925082921981812)",0.9812016125084153,0.9626075625419617,0.9812484979629517,0.9718387126922607,0.9890078902244568,0.9960335493087769,0.9925082921981812
335,0.28346456692913385,0.22279792746113988,0.007874015748031496,0.6583742677093366,0.8903114996561866,"(0.8755071759223938, 0.8934739232063293, 0.8843992948532104)",0.7786937885501654,0.13385826771653545,0.03005181347150259,0.1968503937007874,0.7527889542913077,0.9906805655822956,"(0.9712769389152527, 0.9574575424194336, 0.9643176794052124)",0.9205264677179605,0.8755071759223938,0.8934739232063293,0.8843992948532104,0.9712769389152527,0.9574575424194336,0.9643176794052124
387,0.02962962962962963,0.024065740559577383,0.008888888888888889,0.9689489511883961,0.9936426785531738,"(0.9431803226470947, 0.9595017433166504, 0.9512710571289062)",0.8383154323028886,0.0014814814814814814,0.00019565642731363725,0.9985185185185185,0.9962838882480591,0.9996932507757273,"(1.0, 1.0, 1.0)",0.987321471164866,0.9431803226470947,0.9595017433166504,0.9512710571289062,1.0,1.0,1.0
334,0.052752293577981654,0.061409630146545706,0.013761467889908258,0.9463209386618587,0.9906496833326851,"(0.9513456225395203, 0.9629701375961304, 0.9571226239204407)",0.8247349035156422,0.0022935779816513763,0.0003489183531053733,0.9977064220183486,0.9942362325066973,0.9996263054893598,"(0.9991434812545776, 0.9990159273147583, 0.999079704284668)",0.9232810260269952,0.9513456225395203,0.9629701375961304,0.9571226239204407,0.9991434812545776,0.9990159273147583,0.999079704284668
456,0.03592814371257485,0.019169329073482427,0.3081570996978852,0.9471590539788456,0.9968752726672462,"(0.979882538318634, 0.9860676527023315, 0.9829652905464172)",0.9608024290732146,0.029940119760479042,0.0027955271565495207,0.3100303951367781,0.9471157178148928,1.0000000000000002,"(0.9856182336807251, 0.9882410168647766, 0.9869278073310852)",0.9579055251779259,0.979882538318634,0.9860676527023315,0.9829652905464172,0.9856182336807251,0.9882410168647766,0.9869278073310852
352,0.043010752688172046,0.02641415399950162,0.012544802867383513,0.9396769073175755,0.9971182130871898,"(0.9604943990707397, 0.9656673669815063, 0.9630739092826843)",0.8400337519751971,0.034050179211469536,0.02442063294293546,0.016129032258064516,0.9572942016330881,0.9981181009672996,"(0.9621986746788025, 0.9672171473503113, 0.9647014141082764)",0.841344240624922,0.9604943990707397,0.9656673669815063,0.9630739092826843,0.9621986746788025,0.9672171473503113,0.9647014141082764
498,0.06827309236947791,0.022739018087855296,0.2891566265060241,0.8941914127818313,0.9905827922585033,"(0.9641415476799011, 0.977430522441864, 0.970740556716919)",0.9285765655663537,0.028112449799196786,0.004651162790697674,0.2891566265060241,0.9422089170919066,0.99849974741832,"(0.98386150598526, 0.9881637096405029, 0.9860079288482666)",0.9307536606373816,0.9641415476799011,0.977430522441864,0.970740556716919,0.98386150598526,0.9881637096405029,0.9860079288482666
317,0.2542901716068643,0.18423788729465584,0.0218408736349454,0.9105227081876104,0.9890986251616702,"(0.9533733129501343, 0.954696536064148, 0.9540344476699829)",0.8372305864582401,0.22620904836193448,0.1669785818257434,0.7581903276131046,0.9492864647160395,0.9944320018695881,"(0.9687713980674744, 0.9632771015167236, 0.966016411781311)",0.9038384213677384,0.9533733129501343,0.954696536064148,0.9540344476699829,0.9687713980674744,0.9632771015167236,0.966016411781311
400,0.38161993769470404,0.3716092188456047,0.0,0.5808263005473365,0.8871003167964442,"(0.9312041997909546, 0.940371036529541, 0.9357652068138123)",0.7299953884632124,0.3582554517133956,0.3510095859677748,0.9951690821256038,0.5695264154411697,0.9024084676572547,"(0.9953687787055969, 0.9948074221611023, 0.9950879812240601)",0.9115845070986237,0.9312041997909546,0.940371036529541,0.9357652068138123,0.9953687787055969,0.9948074221611023,0.9950879812240601
434,0.017114914425427872,0.018153846153846152,0.9975550122249389,0.9794324243266695,0.9952418585683783,"(0.9957388639450073, 0.9954147338867188, 0.995576798915863)",0.9566185833507683,0.0024449877750611247,0.0003076923076923077,0.9975550122249389,0.993853623006498,0.9987004182710714,"(0.9957388639450073, 0.9954147338867188, 0.995576798915863)",0.9601230958521638,0.9957388639450073,0.9954147338867188,0.995576798915863,0.9957388639450073,0.9954147338867188,0.995576798915863
459,0.0975609756097561,0.06301369863013699,0.5853658536585366,0.8504981742273783,0.9769581834853313,"(0.9680408239364624, 0.9772335290908813, 0.9726154804229736)",0.9551481674673774,0.10975609756097561,0.06438356164383562,0.8292682926829268,0.8442355801009324,0.9505123775275082,"(0.9673272967338562, 0.9722471833229065, 0.9697809815406799)",0.9751717426099393,0.9680408239364624,0.9772335290908813,0.9726154804229736,0.9673272967338562,0.9722471833229065,0.9697809815406799
90,0.04477611940298507,0.04543303360151443,0.014925373134328358,0.95691131866245,0.9893788760094491,"(0.9441898465156555, 0.9634335041046143, 0.9537146687507629)",0.8307575364473992,0.041044776119402986,0.04353999053478467,0.014925373134328358,0.9603597036145263,0.9903757180959707,"(0.9454240798950195, 0.963955283164978, 0.9545997977256775)",0.8313359439584845,0.9441898465156555,0.9634335041046143,0.9537146687507629,0.9454240798950195,0.963955283164978,0.9545997977256775
304,0.06140350877192982,0.0310192023633678,0.015350877192982455,0.9217278769400746,0.9822110665471583,"(0.930974543094635, 0.943700909614563, 0.9372944831848145)",0.8532874497020324,0.021929824561403508,0.002658788774002954,0.9648351648351648,0.9591878221218193,0.9935600081027365,"(0.9755613207817078, 0.9756736159324646, 0.9756174683570862)",0.908737121647503,0.930974543094635,0.943700909614563,0.9372944831848145,0.9755613207817078,0.9756736159324646,0.9756174683570862
59,0.0170316301703163,0.012440758293838863,0.25060827250608275,0.979580654043485,0.9978181850514292,"(0.9865359663963318, 0.9910496473312378, 0.9887877106666565)",0.9240827068294699,0.0,0.0,1.0,1.0,1.0000000000000016,"(0.9999998211860657, 0.9999998211860657, 0.9999998211860657)",1.0,0.9865359663963318,0.9910496473312378,0.9887877106666565,0.9999998211860657,0.9999998211860657,0.9999998211860657
402,0.08211143695014662,0.040943789035392086,0.002932551319648094,0.881234127774749,0.9636266017835157,"(0.935875654220581, 0.9403938055038452, 0.9381293058395386)",0.826325786037406,0.06451612903225806,0.037820957668285915,0.20303030303030303,0.9094253866201337,0.9738207789712848,"(0.9899428486824036, 0.9891090393066406, 0.9895257949829102)",0.9195645220496325,0.935875654220581,0.9403938055038452,0.9381293058395386,0.9899428486824036,0.9891090393066406,0.9895257949829102
71,1.0051546391752577,0.543033577769201,0.0,0.0,0.0,"(0.8981196880340576, 0.9286262392997742, 0.9131181836128235)",0.6770153632416204,1.0,0.9895793130065612,0.0,0.0,0.0,"(0.39428725838661194, 0.25928857922554016, 0.3128456771373749)",0.5343377598620105,0.8981196880340576,0.9286262392997742,0.9131181836128235,0.39428725838661194,0.25928857922554016,0.3128456771373749
